ArraySize,AvgFoundIndex
10000,5027.06
15000,8019.26
20000,10423.24
25000,12706.96
30000,16764.02
35000,19076.39
40000,17281.71
45000,20821.62
50000,23400.27
55000,28398.68
60000,32282.99
65000,31485.18
70000,35408.37
75000,34664.80
80000,41843.59
85000,35558.28
90000,46924.13
95000,48054.39
100000,50313.82
105000,50227.95
110000,49520.82
115000,60061.47
120000,56889.52
125000,63675.62
130000,63853.15
135000,65666.02
140000,69325.26
145000,68545.43
150000,73566.62
155000,71781.45
160000,86380.08
165000,78983.60
170000,85046.95
175000,88399.91
180000,86531.85
185000,90809.59
190000,93163.84
195000,97962.85
200000,98138.57
205000,106025.16
210000,103520.49
215000,106735.19
220000,116306.62
225000,112767.14
230000,109093.35
235000,120727.81
240000,114628.42
245000,125414.08
250000,124777.23
255000,117915.42
260000,128580.02
265000,127063.50
270000,132143.81
275000,134455.92
280000,134035.63
285000,137580.30
290000,140568.46
295000,138731.15
300000,153110.25
305000,151837.84
310000,146750.82
315000,145340.99
320000,162298.91
325000,153189.51
330000,154266.32
335000,164943.99
340000,170542.31
345000,166399.21
350000,161099.86
355000,170673.63
360000,182369.83
365000,180118.18
370000,184303.23
375000,177883.22
380000,183372.91
385000,195718.70
390000,186160.86
395000,190440.54
400000,191610.31
405000,196551.39
410000,189604.66
415000,203099.57
420000,205064.21
425000,209496.58
430000,201273.60
435000,201833.18
440000,223841.48
445000,211696.16
450000,212933.33
455000,218915.70
460000,224713.77
465000,220178.07
470000,233928.46
475000,222486.58
480000,229906.35
485000,240743.56
490000,241305.08
495000,219011.32
500000,245722.61
505000,242735.05
510000,248432.64
515000,243497.81
520000,260128.85
525000,260966.52
530000,259919.65
535000,255335.90
540000,267762.19
545000,261983.64
550000,258575.97
555000,261575.84
560000,274173.31
565000,276176.10
570000,285806.76
575000,276906.21
580000,278212.82
585000,276094.79
590000,272246.66
595000,283620.93
600000,288953.93
605000,286836.61
610000,299906.18
615000,302142.28
620000,285750.43
625000,285979.17
630000,304121.05
635000,294560.97
640000,309844.46
645000,318753.22
650000,304564.36
655000,312398.74
660000,314523.44
665000,317875.00
670000,311714.50
675000,320913.96
680000,328199.32
685000,322271.21
690000,316567.99
695000,322258.18
700000,336861.02
705000,337016.77
710000,331940.86
715000,332845.89
720000,336118.81
725000,335511.01
730000,356170.63
735000,334909.61
740000,341558.53
745000,348589.90
750000,357511.10
755000,373709.18
760000,365127.08
765000,362474.84
770000,359267.99
775000,353427.12
780000,376649.03
785000,368427.00
790000,368563.38
795000,361385.67
800000,371382.29
805000,369815.53
810000,380555.06
815000,366606.68
820000,387111.58
825000,378404.80
830000,389372.40
835000,401746.84
840000,400668.01
845000,382237.90
850000,387485.19
855000,401638.55
860000,398916.17
865000,399276.52
870000,401530.73
875000,405747.93
880000,420025.20
885000,419355.81
890000,423396.88
895000,412760.38
900000,400826.51
905000,415225.36
910000,409164.11
915000,423498.30
920000,436450.31
925000,434857.54
930000,427430.46
935000,431701.56
940000,423075.05
945000,432478.50
950000,432033.18
955000,446487.88
960000,466106.87
965000,442727.90
970000,449522.38
975000,447316.62
980000,436466.21
985000,445257.15
990000,455633.38
995000,471433.39
1000000,446488.36
