ArraySize,Hits,HitPercent
10000,22,1.10
20000,44,2.20
30000,66,3.30
40000,78,3.90
50000,92,4.60
60000,109,5.45
70000,141,7.05
80000,161,8.05
90000,156,7.80
100000,185,9.25
110000,217,10.85
120000,226,11.30
130000,223,11.15
140000,255,12.75
150000,285,14.25
160000,306,15.30
170000,311,15.55
180000,342,17.10
190000,346,17.30
200000,408,20.40
210000,376,18.80
220000,388,19.40
230000,411,20.55
240000,433,21.65
250000,440,22.00
260000,462,23.10
270000,431,21.55
280000,457,22.85
290000,485,24.25
300000,499,24.95
310000,525,26.25
320000,531,26.55
330000,533,26.65
340000,548,27.40
350000,584,29.20
360000,591,29.55
370000,652,32.60
380000,618,30.90
390000,635,31.75
400000,643,32.15
410000,652,32.60
420000,685,34.25
430000,689,34.45
440000,716,35.80
450000,744,37.20
460000,742,37.10
470000,746,37.30
480000,754,37.70
490000,780,39.00
500000,810,40.50
