ArraySize,Misses,MissPercent
10000,2497,99.88
60000,2495,99.80
110000,2466,98.64
160000,2463,98.52
210000,2438,97.52
260000,2444,97.76
310000,2425,97.00
360000,2406,96.24
410000,2397,95.88
460000,2383,95.32
510000,2374,94.96
560000,2360,94.40
610000,2371,94.84
660000,2352,94.08
710000,2340,93.60
760000,2331,93.24
810000,2299,91.96
860000,2299,91.96
910000,2304,92.16
960000,2289,91.56
1010000,2260,90.40
1060000,2243,89.72
1110000,2221,88.84
1160000,2212,88.48
1210000,2190,87.60
1260000,2214,88.56
1310000,2166,86.64
1360000,2176,87.04
1410000,2201,88.04
1460000,2129,85.16
1510000,2168,86.72
1560000,2135,85.40
1610000,2114,84.56
1660000,2120,84.80
1710000,2114,84.56
1760000,2133,85.32
1810000,2110,84.40
1860000,2090,83.60
1910000,2049,81.96
1960000,2044,81.76
2010000,2003,80.12
2060000,2044,81.76
2110000,2021,80.84
2160000,1986,79.44
2210000,1990,79.60
2260000,2003,80.12
2310000,1954,78.16
2360000,1981,79.24
2410000,1935,77.40
2460000,1979,79.16
2510000,1979,79.16
2560000,1927,77.08
2610000,1931,77.24
2660000,1953,78.12
2710000,1923,76.92
2760000,1865,74.60
2810000,1864,74.56
2860000,1891,75.64
2910000,1886,75.44
2960000,1883,75.32
3010000,1865,74.60
3060000,1842,73.68
3110000,1853,74.12
3160000,1844,73.76
3210000,1799,71.96
3260000,1828,73.12
3310000,1799,71.96
3360000,1733,69.32
3410000,1771,70.84
3460000,1751,70.04
3510000,1729,69.16
3560000,1776,71.04
3610000,1709,68.36
3660000,1743,69.72
3710000,1672,66.88
3760000,1707,68.28
3810000,1688,67.52
3860000,1669,66.76
3910000,1648,65.92
3960000,1661,66.44
4010000,1633,65.32
4060000,1679,67.16
4110000,1663,66.52
4160000,1655,66.20
4210000,1663,66.52
4260000,1596,63.84
4310000,1651,66.04
4360000,1618,64.72
4410000,1607,64.28
4460000,1571,62.84
4510000,1583,63.32
4560000,1589,63.56
4610000,1556,62.24
4660000,1559,62.36
4710000,1568,62.72
4760000,1558,62.32
4810000,1535,61.40
4860000,1593,63.72
4910000,1505,60.20
4960000,1576,63.04
