ArraySize,AvgTime
10000,0.0000074015
60000,0.0000452354
110000,0.0000831408
160000,0.0001217573
210000,0.0001565484
260000,0.0001995012
310000,0.0002277058
360000,0.0002626750
410000,0.0003225637
460000,0.0003534388
510000,0.0003688978
560000,0.0004187942
610000,0.0004445609
660000,0.0004958717
710000,0.0005151172
760000,0.0005439794
810000,0.0005671803
860000,0.0006106727
910000,0.0006616076
960000,0.0006971052
1010000,0.0007304932
1060000,0.0007612164
1110000,0.0007999690
1160000,0.0008279571
1210000,0.0008624578
1260000,0.0008978590
1310000,0.0009305645
1360000,0.0009656532
1410000,0.0010067443
1460000,0.0010223753
1510000,0.0010699419
1560000,0.0011015184
1610000,0.0011299350
1660000,0.0011691495
1710000,0.0011955009
1760000,0.0012428556
1810000,0.0012704185
1860000,0.0013018713
1910000,0.0013260173
1960000,0.0013541248
2010000,0.0013849596
2060000,0.0014316780
2110000,0.0014664964
2160000,0.0014894760
2210000,0.0015082784
2260000,0.0015648867
2310000,0.0015648702
2360000,0.0016418531
2410000,0.0016544722
2460000,0.0016946192
2510000,0.0017548206
2560000,0.0017692844
2610000,0.0017833354
2660000,0.0018451570
2710000,0.0018718746
2760000,0.0018807798
2810000,0.0019130904
2860000,0.0019390165
2910000,0.0019990954
2960000,0.0020075629
3010000,0.0020601955
3060000,0.0020588643
3110000,0.0020998336
3160000,0.0021693145
3210000,0.0021682436
3260000,0.0022275728
3310000,0.0022499839
3360000,0.0022494424
3410000,0.0022813559
3460000,0.0023232833
3510000,0.0023455404
3560000,0.0024150630
3610000,0.0024010732
3660000,0.0024580235
3710000,0.0024535737
3760000,0.0025093736
3810000,0.0025528983
3860000,0.0025499116
3910000,0.0025783653
3960000,0.0025901339
4010000,0.0026391019
4060000,0.0027131251
4110000,0.0026977636
4160000,0.0027843310
4210000,0.0028004043
4260000,0.0027910261
4310000,0.0028458051
4360000,0.0028384604
4410000,0.0028216972
4460000,0.0028457371
4510000,0.0029469370
4560000,0.0028712722
4610000,0.0029039407
4660000,0.0029106855
4710000,0.0029712952
4760000,0.0029673246
4810000,0.0029963606
4860000,0.0032032256
4910000,0.0032229982
4960000,0.0032631506
