Size,IndependentTime,IfElseTime
10000,0.0000091083,0.0000093846
30000,0.0000274402,0.0000268820
50000,0.0000446744,0.0000453470
70000,0.0000622495,0.0000604754
90000,0.0000786502,0.0000785465
110000,0.0000959409,0.0000943805
130000,0.0001120206,0.0001133231
150000,0.0001313437,0.0001301837
170000,0.0001485857,0.0001467960
190000,0.0001643199,0.0001631468
210000,0.0001892755,0.0001802152
230000,0.0002015191,0.0002003654
250000,0.0002198042,0.0002328364
270000,0.0002381662,0.0002389490
290000,0.0002562030,0.0002562877
310000,0.0002736077,0.0002723654
330000,0.0003054691,0.0003031446
350000,0.0003218557,0.0003048124
370000,0.0003229889,0.0003223529
390000,0.0003405376,0.0003474940
410000,0.0003745747,0.0003673424
430000,0.0003873978,0.0003766101
450000,0.0004015408,0.0003944139
470000,0.0004182340,0.0004108155
490000,0.0004376113,0.0004275180
510000,0.0004563309,0.0004475957
530000,0.0004725750,0.0004592004
550000,0.0004903851,0.0004787644
570000,0.0005085202,0.0005037589
590000,0.0005309981,0.0005163234
610000,0.0005443364,0.0005339282
630000,0.0005597336,0.0005512286
650000,0.0005817821,0.0005647639
670000,0.0005901383,0.0005871484
690000,0.0006156175,0.0006036562
710000,0.0006318541,0.0006218660
730000,0.0006503378,0.0006371412
750000,0.0006680499,0.0006562182
770000,0.0006856489,0.0006739939
790000,0.0007240172,0.0007018422
810000,0.0007327574,0.0007343561
830000,0.0007496154,0.0007363243
850000,0.0007443870,0.0007847945
870000,0.0007886532,0.0007628180
890000,0.0007878371,0.0008118941
910000,0.0008144776,0.0007959582
930000,0.0008667828,0.0008528821
950000,0.0008851641,0.0008898115
970000,0.0009002055,0.0008868083
990000,0.0009069082,0.0008742163
1010000,0.0009025262,0.0009063481
1030000,0.0009598547,0.0009333871
1050000,0.0009853380,0.0009294403
1070000,0.0009505964,0.0009377676
1090000,0.0009684729,0.0009572576
1110000,0.0009815042,0.0009740274
1130000,0.0010011179,0.0009900339
1150000,0.0010199808,0.0010059955
1170000,0.0010329073,0.0010211656
1190000,0.0010504335,0.0010562210
1210000,0.0011485659,0.0011124429
1230000,0.0011590151,0.0011470463
1250000,0.0011732279,0.0011307078
1270000,0.0011919339,0.0011662488
1290000,0.0011486448,0.0011359975
1310000,0.0011754075,0.0012167866
1330000,0.0012573704,0.0012513102
1350000,0.0012740367,0.0012418592
1370000,0.0012773180,0.0012797541
1390000,0.0012350402,0.0012205632
1410000,0.0012569169,0.0012447899
1430000,0.0013120328,0.0012736534
1450000,0.0012877946,0.0012817010
1470000,0.0013012480,0.0012970391
1490000,0.0013146767,0.0013148009
1510000,0.0013346005,0.0013304805
1530000,0.0014207234,0.0014578710
1550000,0.0014219510,0.0013706193
1570000,0.0014012413,0.0014047316
1590000,0.0014250365,0.0014168035
1610000,0.0014422571,0.0014339827
1630000,0.0014455363,0.0014412064
1650000,0.0014722430,0.0014598734
1670000,0.0014896867,0.0014772976
1690000,0.0015073934,0.0014937082
1710000,0.0015233933,0.0015087427
1730000,0.0015452794,0.0015301760
1750000,0.0015635798,0.0015487824
1770000,0.0015769832,0.0015630798
1790000,0.0015895370,0.0015738960
1810000,0.0016146387,0.0015986093
1830000,0.0016299049,0.0016198865
1850000,0.0016537730,0.0016371177
1870000,0.0016652783,0.0016512968
1890000,0.0016817232,0.0016695674
1910000,0.0017014187,0.0016820804
1930000,0.0017231927,0.0017070821
1950000,0.0017424412,0.0017276349
1970000,0.0017604422,0.0017460628
1990000,0.0017826531,0.0017661528
