Size,Avg_Time_ms,N_logN
10000,1.05775,132877
15000,1.69115,208090
20000,2.3006,285754
25000,2.89405,365241
30000,3.68775,446180
35000,4.20895,528327
40000,4.93915,611508
45000,5.5375,695594
50000,6.29715,780482
55000,6.9496,866093
60000,7.4525,952360
65000,8.07145,1.03923e+06
70000,8.9322,1.12665e+06
75000,9.7597,1.2146e+06
80000,10.1406,1.30302e+06
85000,11.0355,1.39189e+06
90000,11.7856,1.48119e+06
95000,13.2046,1.57089e+06
100000,13.7137,1.66096e+06
105000,13.6227,1.7514e+06
110000,14.5536,1.84219e+06
115000,15.0943,1.9333e+06
120000,16.0862,2.02472e+06
125000,16.6057,2.11645e+06
130000,18.1254,2.20846e+06
135000,18.0757,2.30075e+06
140000,18.6402,2.39331e+06
145000,19.6005,2.48613e+06
150000,20.2748,2.57919e+06
155000,21.5625,2.6725e+06
160000,21.784,2.76603e+06
165000,26.6633,2.8598e+06
170000,23.8225,2.95378e+06
175000,24.4187,3.04797e+06
180000,25.2873,3.14237e+06
185000,25.8819,3.23698e+06
190000,26.444,3.33177e+06
195000,27.0494,3.42676e+06
200000,29.792,3.52193e+06
205000,28.6573,3.61728e+06
210000,29.2828,3.71281e+06
215000,29.8897,3.80851e+06
220000,31.7878,3.90437e+06
225000,31.1863,4.0004e+06
230000,33.6356,4.09659e+06
235000,33.4307,4.19294e+06
240000,34.1634,4.28944e+06
245000,35.5879,4.38609e+06
250000,37.0367,4.48289e+06
255000,35.7574,4.57984e+06
260000,37.0584,4.67692e+06
265000,38.2443,4.77414e+06
270000,38.4623,4.8715e+06
275000,39.296,4.96899e+06
280000,40.0189,5.06662e+06
285000,40.6169,5.16437e+06
290000,41.5523,5.26225e+06
295000,42.1484,5.36025e+06
300000,42.8275,5.45838e+06
305000,43.7464,5.55663e+06
310000,44.5461,5.65499e+06
315000,45.5579,5.75347e+06
320000,45.8634,5.85207e+06
325000,47.0545,5.95078e+06
330000,48.2739,6.0496e+06
335000,48.9036,6.14852e+06
340000,49.7327,6.24756e+06
345000,50.2182,6.3467e+06
350000,51.107,6.44595e+06
355000,51.8242,6.5453e+06
360000,52.5752,6.64475e+06
365000,53.1474,6.7443e+06
370000,54.0448,6.84395e+06
375000,55.2291,6.9437e+06
380000,55.5331,7.04354e+06
385000,56.6878,7.14348e+06
390000,57.4051,7.24351e+06
395000,58.2298,7.34364e+06
400000,58.58,7.44386e+06
405000,59.8184,7.54416e+06
410000,60.7548,7.64456e+06
415000,61.2083,7.74504e+06
420000,62.1962,7.84561e+06
425000,62.9039,7.94627e+06
430000,63.9261,8.04701e+06
435000,64.6192,8.14784e+06
440000,65.2525,8.24874e+06
445000,66.17,8.34973e+06
450000,66.5435,8.4508e+06
455000,67.7522,8.55196e+06
460000,68.4689,8.65319e+06
465000,69.5494,8.7545e+06
470000,70.048,8.85588e+06
475000,71.3113,8.95734e+06
480000,71.354,9.05888e+06
485000,72.1356,9.1605e+06
490000,73.6956,9.26219e+06
495000,74.2044,9.36395e+06
500000,74.7074,9.46578e+06
