Total,Sparse_Ratio,Dense_Ratio
1000,0.11359999999999999,0.0092
2000,0.0815,0.0046
3000,0.06553333333333333,0.0033333333333333335
4000,0.056049999999999996,0.0025
5000,0.0498,0.002
6000,0.046,0.0016666666666666668
7000,0.04291428571428571,0.0014285714285714286
8000,0.03915,0.00125
9000,0.03711111111111111,0.0011111111111111111
10000,0.034980000000000004,0.001
11000,0.03252727272727273,0.0009090909090909091
12000,0.031400000000000004,0.0008333333333333334
13000,0.030476923076923075,0.0007692307692307692
14000,0.02975714285714286,0.0007142857142857143
15000,0.028066666666666667,0.0006666666666666666
16000,0.0271125,0.000625
17000,0.025729411764705883,0.000588235294117647
18000,0.0252,0.0005555555555555556
19000,0.0246,0.0005263157894736842
20000,0.02398,0.0005
