n,Matrix_Dense,Matrix_Sparse,Heap_Dense,Heap_Sparse
100,0.003086499999881198,0.002636900000197784,0.003420999999889318,0.00011350000022503082
200,0.006777099999908387,0.007024300000011863,0.014331200000015087,0.0002420999999230844
300,0.014222899999822403,0.014970599999742262,0.035650799999984883,0.0004275999999663327
400,0.026982399999724294,0.02983680000033928,0.08915920000026745,0.0009405999999216874
500,0.04358929999989414,0.046589099999891914,0.17294619999984207,0.0008612000001448905
600,0.06403709999995044,0.06854889999976876,0.18299340000021402,0.0009780000000318978
700,0.08824479999975665,0.09274340000001757,0.2812364000001253,0.0011165000000801228
800,0.11589110000022629,0.12298850000024686,0.4290946000000986,0.0013872999998056912
900,0.14751780000005965,0.19123779999972612,0.6117435000001024,0.0015868999998929212
1000,0.18960180000021865,0.20712679999996908,0.7486930000000029,0.0016918999999688822
1100,0.22657110000000102,0.2567242999998598,0.9915353000001232,0.001902800000152638
1200,0.25955470000008063,0.2964606000000458,1.183714499999951,0.0021424000001388777
1300,0.313590799999929,0.3624002000001383,1.4714941999995972,0.0022924999998394924
1400,0.36800240000002304,0.3954788999999437,1.7298472999996193,0.0026267000002917484
1500,0.42334630000004836,0.4753928999998607,2.0646317000000636,0.0025229000002582325
1600,0.4596451000002162,0.5349121999997806,2.181829899999684,0.00316709999970044
1700,0.5267139000002317,0.5973054999999476,2.522406399999909,0.0033176000001731154
1800,0.5865720000001602,0.6686733999999888,2.900431800000206,0.0032696000002943038
1900,0.6788594999998168,0.8010617999998431,3.625117600000067,0.0035872999997081934
2000,0.7517775000001166,0.8693170000001373,4.245083499999964,0.0034538999998403597
