Vertices,Edges,Time_Taken
100,4950,0.0005381999999372056
200,19900,0.0023713999999017688
300,44850,0.006419499999537948
400,79800,0.009124499999416003
500,124750,0.0157640999996147
600,179700,0.017542300000059186
700,244650,0.023913699999866367
800,319600,0.03843989999950281
900,404550,0.04220039999927394
1000,499500,0.04750200000034965
1100,604450,0.06054450000010547
1200,719400,0.07623580000017682
1300,844350,0.08487109999987297
1400,979300,0.1039664999998422
1500,1124250,0.11294229999930394
1600,1279200,0.12283419999948819
1700,1444150,0.14748420000069018
1800,1619100,0.16767110000000685
1900,1804050,0.18845150000015565
2000,1999000,0.20359209999969607
