n,Dense_Time,Sparse_Time
100,0.0007248000001709443,0.00020080000103916973
300,0.0069423000004462665,0.0012422999989212258
500,0.011839400000098976,0.0025372999989485834
700,0.02477560000079393,0.006391299999449984
900,0.05197290000069188,0.0103555999994569
1100,0.06842200000028242,0.014077900001211674
1300,0.0907509000007849,0.018880999999964843
1500,0.15430879999985336,0.028529799999887473
1700,0.1400926000005711,0.03378749999865249
1900,0.20835169999918435,0.04050469999856432
2100,0.23001140000087616,0.04737639999984822
2300,0.24485979999917618,0.06376339999951597
2500,0.2946174999997311,0.07050580000031914
2700,0.37459750000016356,0.07899410000027274
2900,0.37500619999991613,0.09539960000074643
3100,0.4580832999999984,0.09514510000008158
3300,0.48085729999911564,0.11944059999950696
3500,0.5252337000001717,0.1471848000001046
3700,0.5681566000002931,0.15783829999963928
3900,0.6035874999997759,0.17659550000098534
4100,0.7279211999994004,0.18916820000049483
4300,0.7172224999994796,0.20454100000097242
4500,0.8638895000003686,0.22755729999880714
4700,0.9860767999998643,0.2595782999997027
4900,1.0072313000000577,0.27194559999952617
